,state,name,latitude,longitude
156,ny,Ben & Jerry's,40.808032399999995,-73.988109
157,ny,Ben & Jerry’s,40.892948100000005,-73.97357579999999
158,ny,Ben & Jerry's,41.096864000000004,-73.9549098
159,ny,Ben & Jerry's,40.8707992,-73.4278965
160,ny,Ben & Jerry's,40.6874294,-74.1822618
161,ny,Ben & Jerry's,40.686896000000004,-74.18560409999999
162,ny,Ben & Jerry’s,41.1899259,-73.73052750000001
163,nc,Ben & Jerry’s,35.913225399999995,-79.05613790000001
164,nc,Ben & Jerry's,35.794087899999994,-78.6888047
165,nc,Ben & Jerry's,36.0865759,-79.8383583
166,nc,Ben & Jerry's,35.8369592,-78.64273709999999
167,nc,Ben & Jerry's,34.6651185,-77.03567149999999
168,nc,Ben & Jerry's,35.2574494,-81.1114343
169,nc,Ben & Jerry’s,35.4981037,-80.84915440000002
170,nc,Ben & Jerry's,35.2033804,-80.8244245
171,nc,Ben & Jerry's,35.9040209,-78.9417891
172,nc,Ben & Jerry's,34.7646487,-77.38069329999999
173,nc,Ben & Jerry's,35.147322499999994,-80.8095571
174,nc,Ben & Jerry's,35.1718921,-80.8492993
175,nc,Ben & Jerry's - Coming Soon,36.2188576,-81.68562829999999
176,nc,Ben & Jerry's,35.595276500000004,-82.55425
177,nc,Ben & Jerry's,36.0742914,-79.26790909999998
178,oh,Ben & Jerry's,39.733481700000006,-84.1801543
179,oh,Ben & Jerry's,41.4871836,-81.5348777
180,ok,Ben & Jerry's,33.0745941,-97.0853582
181,ok,Ben & Jerry's,33.018764399999995,-96.79636640000001
182,ok,Ben E Keith Foods,36.177769399999995,-95.8739942
183,ok,Ben & Jerry’s,32.9868091,-96.7489852
184,ok,Ben & Jerry's,32.898315999999994,-97.044102
185,pa,Ben & Jerry’s,39.953536799999995,-75.2029584
186,pa,Ben & Jerry's,41.2696916,-75.8228121
187,pa,Ben & Jerry’s,39.9507622,-75.1698598
188,ri,Ben & Jerry’s,41.827752600000004,-71.4008076
189,ri,Ben & Jerry’s,41.4836477,-71.31481090000001
190,ri,Ben & Jerry’s,41.4864951,-71.3160257
191,ri,Ben & Jerry's,41.172614,-71.55806899999999
192,sc,Ben & Jerry's,32.7810463,-79.9307165
193,sc,Ben & Jerry's,33.7078032,-78.8618505
194,sc,Ben & Jerry’s,33.7159194,-78.88313459999999
195,sc,Ben & Jerry's,32.7858956,-79.7884367
196,sc,Ben & Jerry's,32.237907199999995,-80.8616983
197,sc,Ben & Jerry's,33.784238,-78.775886
198,sc,Ben & Jerry's,33.7006956,-78.8710141
199,sc,Ben & Jerry’s,33.7168348,-78.8786978
200,sc,Ben & Jerry's,32.606476,-80.1487458
201,sd,Ben & Jerry's,32.709094199999996,-117.1715235
202,tn,Ben & Jerry's,35.7126099,-83.514716
203,tn,Ben & Jerry's,36.146156500000004,-86.7993561
204,tn,Ben & Jerry’s,35.1143622,-89.8950881
205,tn,Ben & Jerry's,36.139374,-86.8024157
206,tn,Ben & Jerry's,35.832910299999995,-83.5698116
207,tn,Ben & Jerry’s,35.0546133,-85.3110591
208,tx,Ben & Jerry's,33.018764399999995,-96.79636640000001
209,tx,Ben & Jerry's,29.425383500000002,-98.48892109999998
210,tx,Ben & Jerry's,33.0745941,-97.0853582
211,tx,Ben & Jerry's,29.7225017,-95.4182868
212,tx,Ben & Jerry's,26.1962565,-98.25957509999999
213,tx,Ben & Jerry's,29.276318,-94.8098002
214,tx,Ben & Jerry’s,32.9868091,-96.7489852
215,ut,Dreyer's Grand Ice Cream,40.724829,-111.8667498
216,ut,Jerry Seiner South Jordan Buick GMC,40.561116,-111.9002243
217,ut,Jerry Seiner Buick GMC North Salt Lake,40.859240899999996,-111.9031415
218,ut,Dad's Premium Wholesale Meats,40.6730399,-111.9006394
219,ut,Ben & Jerry's,40.76897460000001,-111.90368079999999
220,ut,Ben's Cookies,40.7678265,-111.9046155
221,vt,Ben & Jerry’s,44.352852899999995,-72.74025300000001
222,vt,Ben & Jerry’s,44.4794276,-73.212489
223,vt,Ben & Jerry’s,43.1732761,-73.0494058
224,va,Ben & Jerry's,36.854054,-75.9769558
225,va,Ben & Jerry's,36.840171000000005,-75.97313050000001
226,va,Ben & Jerry’s,38.80402479999999,-77.04050749999999
227,va,Ben & Jerry's,38.8586038,-77.3559916
228,va,Ben & Jerry's,36.861003000000004,-75.9789389
229,va,Ben & Jerry's,38.0513628,-78.5011473
230,va,Ben & Jerry's,38.9588561,-77.3578093
231,va,Ben & Jerry's,39.0324121,-77.42363809999999
232,va,Ben & Jerry's,36.74604420000001,-75.9463648
233,va,Ben & Jerry's,37.303866,-79.96345500000001
234,va,Ben & Jerry's,37.165158,-80.42682590000001
235,va,Ben & Jerry's,37.3185753,-76.73589890000001
236,va,Ben & Jerry’s,37.238193,-76.508656
237,wa,Ben & Jerry's,-32.055591,115.74704299999999
238,wa,Ben & Jerry's,-31.8247391,115.7397822
239,wa,Ben & Jerry's,-31.9486278,115.85868899999998
240,wa,Ben & Jerry's,-31.743813199999998,115.7672115
241,wv,Ben & Jerry's,37.165158,-80.42682590000001
242,wv,Ben & Jerry's,39.0324121,-77.42363809999999
243,wi,Ben & Jerry's,42.088593100000004,-87.8244656
244,wi,Ben & Jerry's,41.8917276,-87.6085693
245,wi,Tom & Jerry's Mini Golf,43.7570314,-87.982715
246,wi,Ben & Jerry’s,44.9469259,-93.32235909999999
247,wi,Ben & Jerry’s,44.9698649,-93.5137047
248,wi,Ben & Jerry's,43.074920399999996,-89.38839449999999
249,wi,Ben & Jerry's,43.136059100000004,-89.3456677
250,wi,Ben & Jerry's,42.5745071,-87.8867528
251,wy,Moo's Gourmet Ice Cream,43.4804124,-110.76112690000001
