"store","state","place_id","name","address","latitude","longitude"
"Ben and Jerry's","MO","ChIJndNHeFQ134cRZ5SW5F42x24","Ben & Jerry's","6380 Delmar Blvd, University City, MO 63130, USA","38.6557427","-90.30413469999999"
"Ben and Jerry's","MT","ChIJl__gm2AYnlQRz01bW0Iw51o","Ben & Jerry's","808 W Main Ave Cafes, On 3 Space 10, Spokane, WA 99201, United States","47.65952","-117.4235004"
"Ben and Jerry's","NV","ChIJZd0N6TDEyIARu9kDQevxjRE","Ben & Jerry's","3411 S Las Vegas Blvd, Las Vegas, NV 89109, USA","36.1204483","-115.1719952"
"Ben and Jerry's","NV","ChIJNRRNoN3RyIAR8-HZluDBkxU","Ben & Jerry's","2225 Village Walk Dr, Henderson, NV 89052, USA","36.0212443","-115.0858248"
"Ben and Jerry's","NV","ChIJTRJlLPHQyIAR5THux6fPoDQ","Ben & Jerry's","1301 W Sunset Rd, Henderson, NV 89014, USA","36.06081","-115.040795"
"Ben and Jerry's","NV","ChIJuaZNPhbEyIAR__jh3U-BJW8","Ben & Jerry's","3663 S Las Vegas Blvd Suite #520, Las Vegas, NV 89109, USA","36.10873950000001","-115.1698147"
"Ben and Jerry's","NV","ChIJ7ZRhFTrEyIARn1A0skICWiQ","Ben & Jerry's","3627 S Las Vegas Blvd Suite 900, Las Vegas, NV 89109, USA","36.1142481","-115.1724913"
"Ben and Jerry's","NH","ChIJeyFSt_ygs0wRlSo4DmMQYwM","Ben & Jerry's","26 Norcross Cir, North Conway, NH 03860, USA","44.0526944","-71.1292038"
"Ben and Jerry's","NJ","ChIJPYzVLsz3wokReiQ90ljbrP4","Ben & Jerry's","339 River Rd, Edgewater, NJ 07020, USA","40.80803239999999","-73.988109"
"Ben and Jerry's","NJ","ChIJ35k2hRYAwYkRTV8lBA8SF3A","Ben & Jerry's","600 N Bay Ave, Beach Haven, NJ 08008, USA","39.56737800000001","-74.2377453"
"Ben and Jerry's","NJ","ChIJnbZpIa5TwokRNWdHmU5FIpI","Ben & Jerry's","3 Brewster Road Terminal A Space A1T, Newark, NJ 07114, United States","40.6874294","-74.18226179999999"
"Ben and Jerry's","NJ","ChIJW37To0zuwIkRuaMvh_6wjIo","Ben & Jerry's","1 Borgata Way, Atlantic City, NJ 08401, USA","39.378328","-74.435245"
"Ben and Jerry's","NJ","ChIJh_oPAu1SwokRjHB2_wy8oMM","Ben & Jerry's","Newark, NJ 07114, USA","40.686896","-74.18560409999999"
"Ben and Jerry's","NM","ChIJ6UXwZbQKIocR123-FZM4rtc","Ben & Jerry's","2533 Virginia St NE # G, Albuquerque, NM 87110, USA","35.1103683","-106.5536654"
"Ben and Jerry's","NY","ChIJ26yw4lRYwokRoL5lvlJD3SI","Ben & Jerry's","200 W 44th St, New York, NY 10036, USA","40.7574529","-73.9867106"
"Ben and Jerry's","NY","ChIJGbPhVST2wokRWmnnL7I8A2I","Ben & Jerry's","2722 Broadway, New York, NY 10025, USA","40.7997286","-73.96785369999999"
"Ben and Jerry's","NY","ChIJ5W8bg1RYwokRcZBEmpzwRYg","Ben & Jerry's","30 Rockefeller Center Concourse Level, New York, NY 10020, United States","40.758944","-73.979351"
"Ben and Jerry's","NY","ChIJl-3rf5xZwokR-e0Dk--zFbo","Ben & Jerry's","24 St Marks Pl, New York, NY 10003, USA","40.72892","-73.98873999999999"
"Ben and Jerry's","NY","ChIJLWklcJddwokRYSkeV8wVsx0","Ben & Jerry's","2784 Linden Blvd, Brooklyn, NY 11208, USA","40.6690595","-73.8617711"
"Ben and Jerry's","NY","ChIJPYzVLsz3wokReiQ90ljbrP4","Ben & Jerry's","339 River Rd, Edgewater, NJ 07020, USA","40.80803239999999","-73.988109"
"Ben and Jerry's","NY","ChIJ79aYrefpwokRtoECf-G9T4c","Ben & Jerry's","1000 Palisades Center Dr, West Nyack, NY 10994, USA","41.096864","-73.9549098"
"Ben and Jerry's","NY","ChIJH7ZsQngo6IkRb4y0hYhFgkg","Ben & Jerry's","298 Main St, Huntington, NY 11743, USA","40.8707992","-73.4278965"
"Ben and Jerry's","NY","ChIJnbZpIa5TwokRNWdHmU5FIpI","Ben & Jerry's","3 Brewster Road Terminal A Space A1T, Newark, NJ 07114, United States","40.6874294","-74.18226179999999"
"Ben and Jerry's","NY","ChIJh_oPAu1SwokRjHB2_wy8oMM","Ben & Jerry's","Newark, NJ 07114, USA","40.686896","-74.18560409999999"
"Ben and Jerry's","NC","ChIJRYKEnMf1rIkRErLbjbbCQCs","Ben & Jerry's","3801 Hillsborough St, Raleigh, NC 27607, USA","35.7940879","-78.68880469999999"
"Ben and Jerry's","NC","ChIJJQdmn_kbU4gRjRC10xZYOAg","Ben & Jerry's","3332 W Friendly Ave, Greensboro, NC 27410, USA","36.0865759","-79.8383583"
"Ben and Jerry's","NC","ChIJl-9RP5FYrIkRczKwu0NqtqY","Ben & Jerry's","4160 Main St, Raleigh, NC 27609, USA","35.8369592","-78.64273709999999"
"Ben and Jerry's","NC","ChIJg0wWbTe-VogRZ52u6q539vg","Ben & Jerry's","3908 E Franklin Blvd, Gastonia, NC 28056, USA","35.2574494","-81.1114343"
